iter	RMSE
0	0.4902444599
1	0.4847498701
2	0.4801607588
3	0.4758417539
4	0.4717897201
5	0.4682746211
6	0.4647377249
7	0.4617557987
8	0.4586746115
9	0.4562531535
10	0.4536303795
11	0.4514743277
12	0.4492877847
13	0.4472267449
14	0.4455016681
15	0.4437328917
16	0.4420742806
17	0.440603427
18	0.4393453403
19	0.4381142119
20	0.4369801931
21	0.4358591295
22	0.4349056811
23	0.4339002068
24	0.4329228303
25	0.4320345501
26	0.4312062658
27	0.4303859288
28	0.4295987575
29	0.4287497742
30	0.428149477
31	0.4275171546
32	0.4268309304
33	0.4262815061
34	0.4256596153
35	0.425100409
36	0.4246095104
37	0.4241739634
38	0.4237568265
39	0.4233521211
40	0.4229476964
41	0.4225316333
42	0.422029854
43	0.4215665746
44	0.4211182267
45	0.4207743289
46	0.4203660448
47	0.4200301849
48	0.4196827141
49	0.4193260849
50	0.4190670307
51	0.4187232594
52	0.418426355
53	0.4181526332
54	0.4178068971
55	0.4174716288
56	0.4171326036
57	0.4168078834
58	0.4164568751
59	0.416217485
60	0.4159153795
61	0.4155957725
62	0.4153511599
63	0.4151530016
64	0.414917723
65	0.4146997249
66	0.4144217067
67	0.4141643884
68	0.4139490131
69	0.4137893657
70	0.4135913293
71	0.4134001257
72	0.4132292004
73	0.4130604436
74	0.4127877922
75	0.412595709
76	0.4124244103
77	0.4122313377
78	0.4120430146
79	0.411824506
80	0.4116553415
81	0.4114568071
82	0.4112691206
83	0.4111728469
84	0.4109856613
85	0.4107530126
86	0.410562026
87	0.4104594519
88	0.4102567225
89	0.4101390677
90	0.4099940824
91	0.4097762582
92	0.4095627738
93	0.4094007715
94	0.4092351921
95	0.4090136623
96	0.40875921
97	0.4085800232
98	0.408430076
99	0.4082946271
100	0.4081184993
101	0.4079727986
102	0.407742408
103	0.4075703648
104	0.4073768607
105	0.4072868336
106	0.4071359638
107	0.4069233622
108	0.4066942748
109	0.4065156334
110	0.4063348087
111	0.4061908392
112	0.4059888432
113	0.4058675732
114	0.4056443378
115	0.4054214444
116	0.4052077197
117	0.4050254615
118	0.4047713408
119	0.4045558658
120	0.404365219
121	0.4041816259
122	0.4039537614
123	0.40373748
124	0.4035764458
125	0.4034253
126	0.4032663684
127	0.4031814762
128	0.403022515
129	0.402864547
130	0.4026515882
131	0.4024094227
132	0.4022406021
133	0.4020775692
134	0.4018837151
135	0.4017273282
136	0.4015476735
137	0.4014244052
138	0.4013506583
139	0.4011785454
140	0.4010187967
141	0.4008531846
142	0.4006316735
143	0.4004252292
144	0.4002304075
145	0.4001231648
146	0.4000061868
147	0.3997849922
148	0.3996193219
149	0.3994249528
150	0.3992900614
151	0.3990984692
152	0.3988029848
153	0.398565275
154	0.398411931
155	0.3982060153
156	0.3980635374
157	0.3978282866
158	0.3976872788
159	0.3975739899
160	0.3973931824
161	0.3971553816
162	0.3970061255
163	0.396871535
164	0.3967508794
165	0.3965972494
166	0.3964625499
167	0.3962221339
168	0.396031648
169	0.3958285387
170	0.3955716093
171	0.3954212472
172	0.3952237021
173	0.3950355395
174	0.3948777586
175	0.3946692443
176	0.3945713756
177	0.394336992
178	0.3941439055
179	0.3939770701
180	0.3937521845
181	0.3936361139
182	0.3933864515
183	0.3932002345
184	0.3930417482
185	0.3929071627
186	0.3927441343
187	0.3925462917
188	0.3923988909
189	0.3922271953
190	0.3920371801
191	0.391879629
192	0.3917424177
193	0.3915853424
194	0.3913407827
195	0.3912290999
196	0.3910194257
197	0.3908581972
198	0.3906410903
199	0.3904657886
200	0.3903507747
201	0.3901613224
202	0.3900137323
203	0.3898195352
204	0.3896361733
205	0.3895139439
