iter	Passed	Remaining
0	7	7526
1	13	6970
2	20	6808
3	31	7774
4	37	7537
5	44	7391
6	51	7297
7	57	7181
8	64	7102
9	70	7017
10	77	6937
11	83	6877
12	89	6806
13	96	6791
14	103	6784
15	110	6774
16	116	6739
17	123	6723
18	129	6700
19	136	6675
20	142	6654
21	149	6629
22	155	6602
23	161	6574
24	168	6560
25	174	6532
26	180	6492
27	186	6479
28	192	6455
29	199	6444
30	205	6422
31	211	6396
32	217	6378
33	223	6357
34	230	6358
35	237	6360
36	244	6354
37	250	6347
38	256	6331
39	262	6308
40	268	6285
41	277	6332
42	284	6323
43	291	6327
44	300	6373
45	308	6390
46	316	6418
47	325	6454
48	333	6471
49	341	6497
50	348	6482
51	354	6460
52	360	6434
53	366	6413
54	372	6398
55	378	6382
56	384	6367
57	391	6357
58	398	6349
59	404	6333
60	410	6315
61	416	6303
62	422	6289
63	428	6269
64	434	6244
65	439	6222
66	446	6212
67	452	6202
68	458	6183
69	464	6164
70	469	6145
71	475	6133
72	481	6118
73	487	6105
74	494	6093
75	499	6077
76	515	6178
77	525	6212
78	531	6196
79	538	6190
80	544	6172
81	550	6159
82	556	6144
83	561	6124
84	567	6113
85	573	6097
86	579	6081
87	585	6063
88	590	6045
89	596	6026
90	601	6008
91	607	5994
92	613	5985
93	619	5966
94	624	5952
95	630	5939
96	636	5927
97	642	5916
98	650	5924
99	656	5907
100	662	5892
101	667	5880
102	674	5873
103	680	5859
104	686	5847
105	691	5833
106	697	5820
107	703	5811
108	709	5801
109	715	5791
110	721	5777
111	726	5763
112	732	5752
113	738	5737
114	743	5724
115	749	5712
116	755	5704
117	762	5696
118	768	5689
119	774	5677
120	779	5662
121	785	5652
122	791	5640
123	797	5631
124	803	5621
125	808	5608
126	813	5594
127	819	5581
128	824	5569
129	830	5558
130	838	5559
131	843	5548
132	849	5538
133	855	5526
134	861	5519
135	867	5510
136	872	5496
137	879	5495
138	885	5483
139	891	5474
140	896	5464
141	902	5455
142	908	5447
143	914	5438
144	920	5428
145	926	5416
146	931	5405
147	937	5398
148	943	5389
149	949	5379
150	955	5371
151	960	5360
152	967	5353
153	973	5347
154	979	5338
155	985	5329
156	991	5321
157	996	5312
158	1002	5303
159	1009	5301
160	1017	5302
161	1023	5296
162	1030	5290
163	1035	5280
164	1041	5271
165	1047	5261
166	1052	5250
167	1058	5243
168	1064	5234
169	1070	5227
170	1076	5217
171	1081	5207
172	1087	5199
173	1092	5188
174	1098	5179
175	1105	5174
176	1110	5165
177	1117	5158
178	1122	5150
179	1128	5139
180	1134	5132
181	1139	5122
182	1145	5116
183	1151	5108
184	1158	5101
185	1163	5091
186	1169	5083
187	1174	5074
188	1180	5066
189	1186	5059
190	1192	5052
191	1201	5057
192	1206	5045
193	1212	5036
194	1218	5032
195	1224	5022
196	1229	5013
197	1235	5005
198	1241	4995
199	1247	4988
200	1252	4977
201	1257	4968
202	1263	4960
203	1269	4951
204	1274	4943
205	1279	4933
206	1285	4926
207	1292	4920
208	1299	4916
209	1304	4908
210	1311	4902
211	1317	4895
212	1322	4887
213	1328	4881
214	1334	4873
215	1341	4868
216	1347	4861
217	1353	4854
218	1359	4847
219	1365	4840
220	1371	4835
221	1378	4830
222	1384	4822
223	1390	4815
224	1396	4809
225	1402	4803
226	1408	4795
227	1414	4789
228	1424	4795
229	1436	4810
230	1444	4807
231	1450	4802
232	1456	4795
233	1465	4796
234	1472	4793
235	1480	4791
236	1496	4818
237	1503	4813
238	1509	4806
239	1515	4798
240	1520	4789
241	1527	4785
242	1535	4782
243	1542	4778
244	1549	4773
245	1555	4766
246	1561	4758
247	1566	4750
248	1572	4741
249	1578	4734
250	1583	4724
251	1589	4716
252	1594	4707
253	1600	4700
254	1605	4691
255	1612	4685
256	1618	4678
257	1623	4670
258	1630	4663
259	1635	4655
260	1641	4647
261	1647	4641
262	1653	4633
263	1658	4624
264	1664	4616
265	1670	4608
266	1676	4601
267	1682	4594
268	1687	4586
269	1693	4578
270	1698	4569
271	1704	4560
272	1709	4552
273	1714	4543
274	1720	4536
275	1726	4529
276	1732	4522
277	1738	4513
278	1743	4506
279	1749	4498
280	1755	4490
281	1761	4485
282	1768	4479
283	1773	4472
284	1779	4464
285	1785	4456
286	1791	4450
287	1797	4444
288	1803	4438
289	1809	4430
290	1816	4424
291	1822	4418
292	1828	4413
293	1835	4407
294	1842	4402
295	1847	4394
296	1854	4389
297	1860	4382
298	1865	4373
299	1871	4365
300	1876	4358
301	1882	4351
302	1888	4344
303	1894	4337
304	1899	4329
305	1906	4322
306	1912	4316
